,precision,recall,f1-score,support
airport,0.4962235649546828,0.5230891719745223,0.5093023255813953,1256.0
bus,0.6783216783216783,0.8495222929936306,0.7543301519971721,1256.0
metro,0.6434494195688225,0.6081504702194357,0.6253021756647864,1276.0
metro_station,0.7071005917159763,0.557542768273717,0.6234782608695653,1286.0
park,0.8054226475279107,0.9555345316934721,0.8740804846386846,1057.0
public_square,0.6204379562043796,0.4851598173515982,0.5445227418321589,876.0
shopping_mall,0.6579320113314447,0.7426059152677857,0.6977093503567405,1251.0
street_pedestrian,0.5305232558139535,0.5680933852140078,0.5486659150695228,1285.0
street_traffic,0.8816295157571099,0.89609375,0.8888027896164278,1280.0
tram,0.6919875130072841,0.5183164458300857,0.5926916221033868,1283.0
accuracy,0.670989591937882,0.670989591937882,0.670989591937882,0.670989591937882
macro avg,0.6713028154203242,0.6704108548818255,0.665888581772984,12106.0
weighted avg,0.6708688355524305,0.670989591937882,0.6660884706427855,12106.0
