file_name_ae,true_label_ae,predicted_label_ae,base_name,file_name_as,true_label_as,predicted_label_as
street_pedestrian-paris-153-4646-aAE.npy,street_pedestrian,street_pedestrian,street_pedestrian-paris-153-4646,street_pedestrian-paris-153-4646-aAS.npy,street_pedestrian,airport
metro_station-milan-1187-44944-aAE.npy,metro_station,shopping_mall,metro_station-milan-1187-44944,metro_station-milan-1187-44944-aAS.npy,metro_station,metro_station
public_square-vienna-122-3614-aAE.npy,public_square,public_square,public_square-vienna-122-3614,public_square-vienna-122-3614-aAS.npy,public_square,street_pedestrian
street_pedestrian-vienna-160-4872-aAE.npy,street_pedestrian,street_pedestrian,street_pedestrian-vienna-160-4872,street_pedestrian-vienna-160-4872-aAS.npy,street_pedestrian,airport
metro-barcelona-41-1253-aAE.npy,metro,bus,metro-barcelona-41-1253,metro-barcelona-41-1253-aAS.npy,metro,metro
shopping_mall-lisbon-1176-45042-aAE.npy,shopping_mall,shopping_mall,shopping_mall-lisbon-1176-45042,shopping_mall-lisbon-1176-45042-aAS.npy,shopping_mall,metro_station
airport-london-6-276-aAE.npy,airport,airport,airport-london-6-276,airport-london-6-276-aAS.npy,airport,street_pedestrian
street_pedestrian-london-150-4541-aAE.npy,street_pedestrian,public_square,street_pedestrian-london-150-4541,street_pedestrian-london-150-4541-aAS.npy,street_pedestrian,street_pedestrian
shopping_mall-paris-134-4063-aAE.npy,shopping_mall,airport,shopping_mall-paris-134-4063,shopping_mall-paris-134-4063-aAS.npy,shopping_mall,street_pedestrian
metro_station-barcelona-62-1871-aAE.npy,metro_station,airport,metro_station-barcelona-62-1871,metro_station-barcelona-62-1871-aAS.npy,metro_station,metro_station
airport-barcelona-1-40-aAE.npy,airport,airport,airport-barcelona-1-40,airport-barcelona-1-40-aAS.npy,airport,street_pedestrian
park-prague-1092-42204-aAE.npy,park,park,park-prague-1092-42204,park-prague-1092-42204-aAS.npy,park,street_traffic
tram-prague-1184-44141-aAE.npy,tram,tram,tram-prague-1184-44141,tram-prague-1184-44141-aAS.npy,tram,metro
tram-stockholm-283-8562-aAE.npy,tram,tram,tram-stockholm-283-8562,tram-stockholm-283-8562-aAS.npy,tram,metro
metro_station-prague-1019-43305-aAE.npy,metro_station,metro_station,metro_station-prague-1019-43305,metro_station-prague-1019-43305-aAS.npy,metro_station,airport
metro-barcelona-220-6635-aAE.npy,metro,bus,metro-barcelona-220-6635,metro-barcelona-220-6635-aAS.npy,metro,metro
tram-prague-1210-44352-aAE.npy,tram,metro,tram-prague-1210-44352,tram-prague-1210-44352-aAS.npy,tram,tram
metro-barcelona-42-1289-aAE.npy,metro,bus,metro-barcelona-42-1289,metro-barcelona-42-1289-aAS.npy,metro,metro
metro_station-milan-1127-40753-aAE.npy,metro_station,airport,metro_station-milan-1127-40753,metro_station-milan-1127-40753-aAS.npy,metro_station,metro_station
street_pedestrian-lisbon-1099-42250-aAE.npy,street_pedestrian,airport,street_pedestrian-lisbon-1099-42250,street_pedestrian-lisbon-1099-42250-aAS.npy,street_pedestrian,street_pedestrian
bus-vienna-219-6616-aAE.npy,bus,bus,bus-vienna-219-6616,bus-vienna-219-6616-aAS.npy,bus,tram
airport-paris-206-6268-aAE.npy,airport,airport,airport-paris-206-6268,airport-paris-206-6268-aAS.npy,airport,metro_station
airport-stockholm-12-501-aAE.npy,airport,street_pedestrian,airport-stockholm-12-501,airport-stockholm-12-501-aAS.npy,airport,airport
airport-barcelona-203-6128-aAE.npy,airport,public_square,airport-barcelona-203-6128,airport-barcelona-203-6128-aAS.npy,airport,street_pedestrian
shopping_mall-london-256-7755-aAE.npy,shopping_mall,metro_station,shopping_mall-london-256-7755,shopping_mall-london-256-7755-aAS.npy,shopping_mall,shopping_mall
public_square-vienna-124-3685-aAE.npy,public_square,street_pedestrian,public_square-vienna-124-3685,public_square-vienna-124-3685-aAS.npy,public_square,public_square
metro-vienna-59-1768-aAE.npy,metro,metro,metro-vienna-59-1768,metro-vienna-59-1768-aAS.npy,metro,tram
tram-lyon-1093-42804-aAE.npy,tram,metro_station,tram-lyon-1093-42804,tram-lyon-1093-42804-aAS.npy,tram,metro
street_pedestrian-vienna-158-4819-aAE.npy,street_pedestrian,airport,street_pedestrian-vienna-158-4819,street_pedestrian-vienna-158-4819-aAS.npy,street_pedestrian,street_pedestrian
metro-barcelona-220-6662-aAE.npy,metro,bus,metro-barcelona-220-6662,metro-barcelona-220-6662-aAS.npy,metro,metro
shopping_mall-vienna-139-4232-aAE.npy,shopping_mall,shopping_mall,shopping_mall-vienna-139-4232,shopping_mall-vienna-139-4232-aAS.npy,shopping_mall,airport
street_pedestrian-lisbon-1004-42834-aAE.npy,street_pedestrian,street_pedestrian,street_pedestrian-lisbon-1004-42834,street_pedestrian-lisbon-1004-42834-aAS.npy,street_pedestrian,airport
bus-milan-1115-40248-aAE.npy,bus,bus,bus-milan-1115-40248,bus-milan-1115-40248-aAS.npy,bus,metro
public_square-stockholm-252-7555-aAE.npy,public_square,airport,public_square-stockholm-252-7555,public_square-stockholm-252-7555-aAS.npy,public_square,public_square
tram-milan-1158-43737-aAE.npy,tram,metro,tram-milan-1158-43737,tram-milan-1158-43737-aAS.npy,tram,tram
bus-stockholm-36-1065-aAE.npy,bus,tram,bus-stockholm-36-1065,bus-stockholm-36-1065-aAS.npy,bus,metro
bus-stockholm-36-1086-aAE.npy,bus,tram,bus-stockholm-36-1086,bus-stockholm-36-1086-aAS.npy,bus,bus
shopping_mall-lisbon-1176-44242-aAE.npy,shopping_mall,shopping_mall,shopping_mall-lisbon-1176-44242,shopping_mall-lisbon-1176-44242-aAS.npy,shopping_mall,metro_station
tram-prague-1184-44119-aAE.npy,tram,bus,tram-prague-1184-44119,tram-prague-1184-44119-aAS.npy,tram,tram
metro-vienna-59-1786-aAE.npy,metro,metro,metro-vienna-59-1786,metro-vienna-59-1786-aAS.npy,metro,tram
shopping_mall-helsinki-129-3850-aAE.npy,shopping_mall,shopping_mall,shopping_mall-helsinki-129-3850,shopping_mall-helsinki-129-3850-aAS.npy,shopping_mall,airport
tram-paris-192-5860-aAE.npy,tram,metro,tram-paris-192-5860,tram-paris-192-5860-aAS.npy,tram,tram
tram-vienna-285-8611-aAE.npy,tram,tram,tram-vienna-285-8611,tram-vienna-285-8611-aAS.npy,tram,bus
public_square-lyon-1056-40449-aAE.npy,public_square,public_square,public_square-lyon-1056-40449,public_square-lyon-1056-40449-aAS.npy,public_square,street_pedestrian
metro-stockholm-55-1624-aAE.npy,metro,bus,metro-stockholm-55-1624,metro-stockholm-55-1624-aAS.npy,metro,metro
airport-helsinki-4-201-aAE.npy,airport,street_pedestrian,airport-helsinki-4-201,airport-helsinki-4-201-aAS.npy,airport,airport
airport-vienna-13-515-aAE.npy,airport,street_pedestrian,airport-vienna-13-515,airport-vienna-13-515-aAS.npy,airport,airport
public_square-stockholm-119-3515-aAE.npy,public_square,public_square,public_square-stockholm-119-3515,public_square-stockholm-119-3515-aAS.npy,public_square,street_traffic
metro_station-paris-238-7063-aAE.npy,metro_station,metro_station,metro_station-paris-238-7063,metro_station-paris-238-7063-aAS.npy,metro_station,street_traffic
shopping_mall-lyon-1196-45170-aAE.npy,shopping_mall,shopping_mall,shopping_mall-lyon-1196-45170,shopping_mall-lyon-1196-45170-aAS.npy,shopping_mall,metro_station
shopping_mall-helsinki-255-7664-aAE.npy,shopping_mall,shopping_mall,shopping_mall-helsinki-255-7664,shopping_mall-helsinki-255-7664-aAS.npy,shopping_mall,airport
public_square-paris-251-7520-aAE.npy,public_square,park,public_square-paris-251-7520,public_square-paris-251-7520-aAS.npy,public_square,public_square
airport-london-205-6198-aAE.npy,airport,airport,airport-london-205-6198,airport-london-205-6198-aAS.npy,airport,street_pedestrian
shopping_mall-stockholm-258-7829-aAE.npy,shopping_mall,street_pedestrian,shopping_mall-stockholm-258-7829,shopping_mall-stockholm-258-7829-aAS.npy,shopping_mall,shopping_mall
metro-vienna-58-1728-aAE.npy,metro,metro,metro-vienna-58-1728,metro-vienna-58-1728-aAS.npy,metro,tram
airport-barcelona-1-64-aAE.npy,airport,metro,airport-barcelona-1-64,airport-barcelona-1-64-aAS.npy,airport,airport
street_traffic-helsinki-166-5110-aAE.npy,street_traffic,street_traffic,street_traffic-helsinki-166-5110,street_traffic-helsinki-166-5110-aAS.npy,street_traffic,bus
metro-helsinki-222-6706-aAE.npy,metro,bus,metro-helsinki-222-6706,metro-helsinki-222-6706-aAS.npy,metro,metro
airport-lisbon-1114-43732-aAE.npy,airport,airport,airport-lisbon-1114-43732,airport-lisbon-1114-43732-aAS.npy,airport,shopping_mall
public_square-stockholm-120-3533-aAE.npy,public_square,street_traffic,public_square-stockholm-120-3533,public_square-stockholm-120-3533-aAS.npy,public_square,public_square
public_square-stockholm-120-3551-aAE.npy,public_square,street_traffic,public_square-stockholm-120-3551,public_square-stockholm-120-3551-aAS.npy,public_square,public_square
metro_station-lisbon-1221-45022-aAE.npy,metro_station,airport,metro_station-lisbon-1221-45022,metro_station-lisbon-1221-45022-aAS.npy,metro_station,metro_station
street_pedestrian-stockholm-155-4698-aAE.npy,street_pedestrian,public_square,street_pedestrian-stockholm-155-4698,street_pedestrian-stockholm-155-4698-aAS.npy,street_pedestrian,street_pedestrian
metro_station-lyon-1179-45234-aAE.npy,metro_station,street_pedestrian,metro_station-lyon-1179-45234,metro_station-lyon-1179-45234-aAS.npy,metro_station,metro_station
street_traffic-lisbon-1076-43662-aAE.npy,street_traffic,park,street_traffic-lisbon-1076-43662,street_traffic-lisbon-1076-43662-aAS.npy,street_traffic,street_traffic
metro_station-prague-1019-41347-aAE.npy,metro_station,shopping_mall,metro_station-prague-1019-41347,metro_station-prague-1019-41347-aAS.npy,metro_station,metro_station
tram-milan-1132-40320-aAE.npy,tram,tram,tram-milan-1132-40320,tram-milan-1132-40320-aAS.npy,tram,metro
shopping_mall-prague-1219-45209-aAE.npy,shopping_mall,airport,shopping_mall-prague-1219-45209,shopping_mall-prague-1219-45209-aAS.npy,shopping_mall,shopping_mall
metro_station-milan-1117-42816-aAE.npy,metro_station,metro_station,metro_station-milan-1117-42816,metro_station-milan-1117-42816-aAS.npy,metro_station,shopping_mall
park-lyon-1144-41676-aAE.npy,park,public_square,park-lyon-1144-41676,park-lyon-1144-41676-aAS.npy,park,street_pedestrian
metro-milan-1025-41648-aAE.npy,metro,bus,metro-milan-1025-41648,metro-milan-1025-41648-aAS.npy,metro,metro
metro_station-stockholm-84-2257-aAE.npy,metro_station,airport,metro_station-stockholm-84-2257,metro_station-stockholm-84-2257-aAS.npy,metro_station,metro_station
tram-lisbon-1100-41423-aAE.npy,tram,metro,tram-lisbon-1100-41423,tram-lisbon-1100-41423-aAS.npy,tram,tram
metro-stockholm-227-6853-aAE.npy,metro,tram,metro-stockholm-227-6853,metro-stockholm-227-6853-aAS.npy,metro,metro
airport-milan-1108-41690-aAE.npy,airport,airport,airport-milan-1108-41690,airport-milan-1108-41690-aAS.npy,airport,shopping_mall
shopping_mall-prague-1031-42692-aAE.npy,shopping_mall,airport,shopping_mall-prague-1031-42692,shopping_mall-prague-1031-42692-aAS.npy,shopping_mall,shopping_mall
metro-stockholm-55-1639-aAE.npy,metro,metro,metro-stockholm-55-1639,metro-stockholm-55-1639-aAS.npy,metro,tram
tram-lyon-1112-41121-aAE.npy,tram,tram,tram-lyon-1112-41121,tram-lyon-1112-41121-aAS.npy,tram,metro
shopping_mall-london-256-7690-aAE.npy,shopping_mall,shopping_mall,shopping_mall-london-256-7690,shopping_mall-london-256-7690-aAS.npy,shopping_mall,airport
bus-lyon-1129-43409-aAE.npy,bus,tram,bus-lyon-1129-43409,bus-lyon-1129-43409-aAS.npy,bus,bus
street_pedestrian-london-149-4528-aAE.npy,street_pedestrian,public_square,street_pedestrian-london-149-4528,street_pedestrian-london-149-4528-aAS.npy,street_pedestrian,street_pedestrian
tram-milan-1182-44927-aAE.npy,tram,metro,tram-milan-1182-44927,tram-milan-1182-44927-aAS.npy,tram,bus
metro_station-london-235-7025-aAE.npy,metro_station,airport,metro_station-london-235-7025,metro_station-london-235-7025-aAS.npy,metro_station,shopping_mall
